latitude,longitude,speed,rpm,fuel_level,ignition_status,battery_level,satellites_used,timestamp,gps_id,distance_from_last
-6.84648,107.58435,77,,,,12.8,6,2025-07-14T16:20:19.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84615,107.58398,52,,,,13.4,10,2025-07-14T16:20:29.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84638,107.58388,76,,,,12.3,12,2025-07-14T16:20:38.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84631,107.58398,20,,,,12.6,5,2025-07-14T16:20:50.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84623,107.58369,36,,,,12.9,7,2025-07-14T16:20:56.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84623,107.58403,5,,,,12.7,10,2025-07-14T16:21:03.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84653,107.58361,72,,,,12.6,6,2025-07-14T16:21:16.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84677,107.58353,70,,,,13.3,7,2025-07-14T16:21:27.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84696,107.58396,50,,,,12.8,8,2025-07-14T16:21:38.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84741,107.58404,5,,,,12.9,12,2025-07-14T16:21:50.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84700,107.58435,13,,,,12.5,6,2025-07-14T16:21:58.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84723,107.58446,49,,,,12.1,10,2025-07-14T16:22:06.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84772,107.58457,84,,,,12.3,7,2025-07-14T16:22:19.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84807,107.58426,99,,,,12.9,6,2025-07-14T16:22:34.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84798,107.58426,58,,,,13.2,8,2025-07-14T16:22:41.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84800,107.58416,30,,,,13.2,8,2025-07-14T16:22:56.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84838,107.58422,93,,,,13.4,6,2025-07-14T16:23:02.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84881,107.58375,32,,,,12.5,8,2025-07-14T16:23:11.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84890,107.58344,70,,,,13.2,7,2025-07-14T16:23:19.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84903,107.58346,33,,,,13.2,5,2025-07-14T16:23:29.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84907,107.58390,62,,,,12.4,10,2025-07-14T16:23:38.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84859,107.58428,0,,,,12.8,10,2025-07-14T16:23:48.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84827,107.58453,37,,,,12.1,9,2025-07-14T16:23:54.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84877,107.58489,89,,,,13.3,6,2025-07-14T16:24:06.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84873,107.58513,3,,,,12.7,5,2025-07-14T16:24:16.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84844,107.58537,73,,,,12.7,10,2025-07-14T16:24:22.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
-6.84878,107.58490,19,,,,13.2,7,2025-07-14T16:24:28.313701Z,94b2a340-5830-4e72-9ff5-7578d0df9007,
